,Название улицы/поселения,Район
17,Донской 3-й проезд,Донской
18,Донской 4-й проезд,Донской
19,Донской 5-й проезд,Донской
20,Духовской переулок,Донской
21,Загородное шоссе,Донской
22,Загородный 4-й проезд,Донской
23,Канатчиковский проезд,Донской
24,Конный переулок,Донской
25,Ленинский проспект,Донской
26,Малая Калужская улица,Донской
27,Малая Тульская улица,Донской
28,Малый Калужский переулок,Донской
29,Новоданиловская набережная,Донской
30,Новоданиловский проезд,Донской
31,Орджоникидзе улица,Донской
32,Рощинский 1-й проезд,Донской
33,Рощинский 2-й проезд,Донской
34,Севастопольский проспект,Донской
35,Стасовой улица,Донской
36,Тульский 2-й переулок,Донской
37,Хавская улица,Донской
38,Шаболовка улица,Донской
39,Шухова улица,Донской
0,1812 Года улица,Дорогомилово
1,Багратион мост,Дорогомилово
2,Бережковская набережная,Дорогомилово
3,Большая Дорогомиловская улица,Дорогомилово
4,Бородинская 1-я улица,Дорогомилово
5,Бородинская 2-я улица,Дорогомилово
6,Братьев Фонченко улица,Дорогомилово
7,Брянская улица,Дорогомилово
8,Брянский 1-й переулок,Дорогомилово
9,Брянский 2-й переулок,Дорогомилово
10,Генерала Ермолова улица,Дорогомилово
11,Дениса Давыдова улица,Дорогомилово
12,Дорогомиловская Застава площадь,Дорогомилово
13,Дохтуровский переулок,Дорогомилово
14,Дунаевского улица,Дорогомилово
15,Европы площадь,Дорогомилово
16,Киевская улица,Дорогомилово
17,Киевского Вокзала площадь,Дорогомилово
18,Кульнева улица,Дорогомилово
19,Кутузовский переулок,Дорогомилово
20,Кутузовский проезд,Дорогомилово
21,Кутузовский проспект,Дорогомилово
22,Лужнецкий мост,Дорогомилово
23,Малая Дорогомиловская улица,Дорогомилово
24,Минская улица,Дорогомилово
25,Можайский 1-й тупик,Дорогомилово
26,Можайский 6-й переулок,Дорогомилово
27,Можайский Вал улица,Дорогомилово
28,Можайский переулок,Дорогомилово
29,Неверовского улица,Дорогомилово
30,Новоарбатский мост,Дорогомилово
31,Платовская улица,Дорогомилово
32,Победы площадь,Дорогомилово
33,Поклонная улица,Дорогомилово
34,Потылиха улица,Дорогомилово
35,Раевского улица,Дорогомилово
36,Резервный проезд,Дорогомилово
37,Студенческая улица,Дорогомилово
38,Тараса Шевченко набережная,Дорогомилово
39,Украинский бульвар,Дорогомилово
40,Хмельницкого мост,Дорогомилово
0,Балчуг улица,Замоскворечье
1,Бахрушина улица,Замоскворечье
2,Большая Ордынка улица,Замоскворечье
3,Большая Пионерская улица,Замоскворечье
4,Большая Серпуховская улица,Замоскворечье
5,Большая Татарская улица,Замоскворечье
6,Большой Краснохолмский мост,Замоскворечье
7,Большой Овчинниковский переулок,Замоскворечье
8,Большой Ордынский переулок,Замоскворечье
9,Большой Строченовский переулок,Замоскворечье
10,Большой Татарский переулок,Замоскворечье
11,Большой Устьинский мост,Замоскворечье
12,Валовая улица,Замоскворечье
13,Вишняковский переулок,Замоскворечье
14,Голиковский переулок,Замоскворечье
15,Добрынинский 1-й переулок,Замоскворечье
16,Добрынинский 4-й переулок,Замоскворечье
17,Дубининская улица,Замоскворечье
18,Жуков проезд,Замоскворечье
19,Зацепа улица,Замоскворечье
20,Зацепская площадь,Замоскворечье
21,Зацепский Вал улица,Замоскворечье
22,Зацепский тупик,Замоскворечье
23,Зверев мост,Замоскворечье
24,Иверский переулок,Замоскворечье
25,Кадашёвская набережная,Замоскворечье
26,Климентовский переулок,Замоскворечье
27,Кожевническая улица,Замоскворечье
28,Кожевнический проезд,Замоскворечье
29,Комиссариатский мост,Замоскворечье
30,Комиссариатский переулок,Замоскворечье
31,Коровий Вал улица,Замоскворечье
32,Космодамианская набережная,Замоскворечье
33,Летниковская улица,Замоскворечье
34,Люсиновская улица,Замоскворечье
35,Люсиновский 1-й переулок,Замоскворечье
36,Люсиновский 3-й переулок,Замоскворечье
37,Малая Ордынка улица,Замоскворечье
38,Малая Пионерская улица,Замоскворечье
39,Малый Краснохолмский мост,Замоскворечье
40,Малый Ордынский переулок,Замоскворечье
41,Малый Строченовский переулок,Замоскворечье
42,Малый Татарский переулок,Замоскворечье
43,Монетчиковский 1-й переулок,Замоскворечье
44,Монетчиковский 2-й переулок,Замоскворечье
45,Монетчиковский 3-й переулок,Замоскворечье
46,Монетчиковский 4-й переулок,Замоскворечье
47,Монетчиковский 5-й переулок,Замоскворечье
48,Монетчиковский 6-й переулок,Замоскворечье
49,Мытная улица,Замоскворечье
50,Нижняя Краснохолмская улица,Замоскворечье
51,Новокузнецкая улица,Замоскворечье
52,Новокузнецкий 1-й переулок,Замоскворечье
53,Новокузнецкий 2-й переулок,Замоскворечье
54,Новоспасский мост,Замоскворечье
55,Овчинниковская набережная,Замоскворечье
56,Озерковская набережная,Замоскворечье
57,Озерковский переулок,Замоскворечье
58,Павелецкая площадь,Замоскворечье
59,Павла Андреева улица,Замоскворечье
60,Пятницкая улица,Замоскворечье
61,Пятницкий переулок,Замоскворечье
62,Раушская набережная,Замоскворечье
63,Раушский 1-й переулок,Замоскворечье
64,Раушский 2-й переулок,Замоскворечье
65,Руновский переулок,Замоскворечье
66,Садовническая набережная,Замоскворечье
67,Садовническая улица,Замоскворечье
68,Садовнический мост,Замоскворечье
69,Садовнический переулок,Замоскворечье
70,Садовнический проезд,Замоскворечье
71,Серпуховская площадь,Замоскворечье
72,Серпуховский переулок,Замоскворечье
73,Средний Овчинниковский переулок,Замоскворечье
74,Старый Толмачёвский переулок,Замоскворечье
75,Стремянный переулок,Замоскворечье
76,Татарская улица,Замоскворечье
77,Черниговский переулок,Замоскворечье
78,Чугунный мост,Замоскворечье
79,Шлюзовая набережная,Замоскворечье
80,Щипковский 1-й переулок,Замоскворечье
81,Щипковский 2-й переулок,Замоскворечье
82,Щипковский 4-й переулок,Замоскворечье
83,Щипок улица,Замоскворечье
0,Азовская улица,Зюзино
1,Балаклавский проспект,Зюзино
2,Болотниковская улица,Зюзино
3,Большая Юшуньская улица,Зюзино
4,Внутренний проезд,Зюзино
5,Каховка улица,Зюзино
6,Керченская улица,Зюзино
7,Малая Юшуньская улица,Зюзино
8,Нахимовский проспект,Зюзино
9,Одесская улица,Зюзино
10,Перекопская улица,Зюзино
11,Севастопольская площадь,Зюзино
12,Севастопольский проспект,Зюзино
13,Сивашская улица,Зюзино
14,Симферопольский бульвар,Зюзино
15,Фруктовая улица,Зюзино
16,Херсонская улица,Зюзино
17,Черноморский бульвар,Зюзино
18,Чонгарский бульвар,Зюзино
0,Борисовский проезд,Зябликово
1,Городянка улица,Зябликово
2,Елецкая улица,Зябликово
3,Задонский проезд,Зябликово
4,Кустанайская улица,Зябликово
5,Мусы Джалиля улица,Зябликово
6,Ореховый бульвар,Зябликово
7,Ореховый проезд,Зябликово
8,Проектируемый проезд N 5302,Зябликово
9,Проектируемый проезд N 5396,Зябликово
10,Шипиловская улица,Зябликово
0,Большой Купавенский проезд,Ивановское
1,Зелёный проспект,Ивановское
2,Магнитогорская улица,Ивановское
3,Малый Купавенский проезд,Ивановское
4,Металлургов улица,Ивановское
5,Молостовых улица,Ивановское
6,Напольный проезд,Ивановское
7,Прокатная улица,Ивановское
8,Сапёрный проезд,Ивановское
9,Саянская улица,Ивановское
10,Свободный проспект,Ивановское
11,Сталеваров улица,Ивановское
12,Терлецкий проезд,Ивановское
13,Федеративный проспект,Ивановское
14,Фрязевская улица,Ивановское
15,Челябинская улица,Ивановское
16,Чечулина улица,Ивановское
17,Энтузиастов шоссе,Ивановское
0,Верхняя Первомайская улица,Измайлово Восточное
1,Измайловский бульвар,Измайлово Восточное
2,Измайловский проспект,Измайлово Восточное
3,Нижняя Первомайская улица,Измайлово Восточное
4,Парковая 11-я улица,Измайлово Восточное
5,Парковая 12-я улица,Измайлово Восточное
6,Парковая 13-я улица,Измайлово Восточное
7,Парковая 14-я улица,Измайлово Восточное
8,Парковая 15-я улица,Измайлово Восточное
9,Парковая 16-я улица,Измайлово Восточное
10,Парковая 9-я улица,Измайлово Восточное
11,Первомайская улица,Измайлово Восточное
12,Первомайский проезд,Измайлово Восточное
13,Сиреневый бульвар,Измайлово Восточное
14,Средняя Первомайская улица,Измайлово Восточное
0,Верхняя Первомайская улица,Измайлово
1,Главная аллея,Измайлово
2,Елагинский проспект,Измайлово
3,Заводской проезд,Измайлово
4,Измайловская Пасека посёлок,Измайлово
5,Измайловская площадь,Измайлово
6,Измайловский бульвар,Измайлово
7,Измайловский проезд,Измайлово
8,Измайловский проспект,Измайлово
9,Измайловского Зверинца 1-й переулок,Измайлово
10,Измайловского Зверинца 1-я улица,Измайлово
11,Измайловского Зверинца 2-й переулок,Измайлово
12,Измайловского Зверинца 2-я улица,Измайлово
13,Измайловское шоссе,Измайлово
14,Имени Баумана городок,Измайлово
15,Круга Большого аллея,Измайлово
16,Московский проспект,Измайлово
17,Народный проспект,Измайлово
18,Нижняя Первомайская улица,Измайлово
19,Никитинская улица,Измайлово
20,Парковая 1-я улица,Измайлово
21,Парковая 10-я улица,Измайлово
22,Парковая 11-я улица,Измайлово
23,Парковая 2-я улица,Измайлово
24,Парковая 3-я улица,Измайлово
25,Парковая 4-я улица,Измайлово
26,Парковая 5-я улица,Измайлово
27,Парковая 6-я улица,Измайлово
28,Парковая 7-я улица,Измайлово
29,Парковая 8-я улица,Измайлово
30,Парковая 9-я улица,Измайлово
31,Первомайская аллея,Измайлово
32,Первомайская улица,Измайлово
33,Проектируемый проезд N 890,Измайлово
34,Пролетарского Входа аллея,Измайлово
35,Прядильная 1-я улица,Измайлово
36,Прядильная 2-я улица,Измайлово
37,Прядильная 3-я улица,Измайлово
38,Сиреневый бульвар,Измайлово
39,Советская улица,Измайлово
40,Соколиной Горы 8-я улица,Измайлово
41,Средняя Первомайская улица,Измайлово
42,Щёлковское шоссе,Измайлово
43,Энтузиастов шоссе,Измайлово
0,Викторио Кодовильи площадь,Измайлово Северное
1,Константина Федина улица,Измайлово Северное
2,Никитинская улица,Измайлово Северное
3,Парковая 11-я улица,Измайлово Северное
4,Парковая 13-я улица,Измайлово Северное
5,Парковая 15-я улица,Измайлово Северное
6,Парковая 16-я улица,Измайлово Северное
7,Парковая 3-я улица,Измайлово Северное
8,Парковая 5-я улица,Измайлово Северное
9,Парковая 7-я улица,Измайлово Северное
10,Парковая 9-я улица,Измайлово Северное
11,Сиреневый бульвар,Измайлово Северное
12,Соловецких Юнг площадь,Измайлово Северное
13,Щёлковский проезд,Измайлово Северное
14,Щёлковское шоссе,Измайлово Северное
0,Бесединский мост,Капотня
1,Верхние Поля улица,Капотня
2,Капотнинский 1-й проезд,Капотня
3,Капотня 1-й квартал,Капотня
4,Капотня 2-й квартал,Капотня
5,Капотня 3-й квартал,Капотня
6,Капотня 4-й квартал,Капотня
7,Капотня 5-й квартал,Капотня
8,Проектируемый проезд N 5467,Капотня
0,Академика Арцимовича улица,Коньково
1,Академика Волгина улица,Коньково
2,Академика Капицы улица,Коньково
3,Академика Келдыша площадь,Коньково
4,Академика Опарина улица,Коньково
5,Бутлерова улица,Коньково
6,Введенского улица,Коньково
7,Генерала Антонова улица,Коньково
8,Мартина Лютера Кинга площадь,Коньково
9,Миклухо-Маклая улица,Коньково
10,Обручева улица,Коньково
11,Островитянова улица,Коньково
12,Профсоюзная улица,Коньково
13,Севастопольский проспект,Коньково
0,Большая Академическая улица,Коптево
1,Генерала Рычагова улица,Коптево
2,Зои и Александра Космодемьянских улица,Коптево
3,Клары Цеткин улица,Коптево
4,Коптевская улица,Коптево
5,Коптевский бульвар,Коптево
6,Космонавта Волкова улица,Коптево
7,Лихоборские Бугры улица,Коптево
8,Матроса Железняка бульвар,Коптево
9,Михалковская улица,Коптево
10,Михалковский 3-й переулок,Коптево
11,Нарвская улица,Коптево
12,Новая Ипатовка улица,Коптево
13,Новомихалковский 1-й проезд,Коптево
14,Новомихалковский 3-й проезд,Коптево
15,Новомихалковский 4-й проезд,Коптево
16,Новопетровская улица,Коптево
17,Новоподмосковный 8-й переулок,Коптево
18,Приорова улица,Коптево
19,Соболевский проезд,Коптево
20,Старокоптевский переулок,Коптево
21,Фармацевтический проезд,Коптево
22,Черепановых проезд,Коптево
0,8 Марта улица (Косино-Ухтомский),Косино-Ухтомский
1,Большая Косинская улица,Косино-Ухтомский
2,Ветлужская улица,Косино-Ухтомский
3,Дмитриевского улица,Косино-Ухтомский
4,Заозёрная улица,Косино-Ухтомский
5,Златоустовская улица,Косино-Ухтомский
6,Камова улица,Косино-Ухтомский
7,Каскадная улица,Косино-Ухтомский
8,Красковская улица,Косино-Ухтомский
9,Красковский 1-й проезд,Косино-Ухтомский
10,Красковский 2-й проезд,Косино-Ухтомский
11,Красносолнечная улица,Косино-Ухтомский
12,Лениногорская улица,Косино-Ухтомский
13,Лухмановская улица,Косино-Ухтомский
14,Лыткаринская улица,Косино-Ухтомский
15,Медведева улица,Косино-Ухтомский
16,Михельсона улица,Косино-Ухтомский
17,Муромская улица,Косино-Ухтомский
18,Наташи Качуевской улица,Косино-Ухтомский
19,Новоухтомское шоссе,Косино-Ухтомский
20,Оранжерейная улица,Косино-Ухтомский
21,Оренбургская улица,Косино-Ухтомский
22,Пехорская улица,Косино-Ухтомский
23,Поселковая улица,Косино-Ухтомский
24,Розы Люксембург улица,Косино-Ухтомский
25,Рудневка улица,Косино-Ухтомский
26,Салтыковская улица,Косино-Ухтомский
27,Святоозерская улица,Косино-Ухтомский
28,Татьяны Макаровой улица,Косино-Ухтомский
29,Третьего Интернационала улица,Косино-Ухтомский
30,Чебоксарская улица,Косино-Ухтомский
31,Чёрное Озеро улица,Косино-Ухтомский
0,Большая Черёмушкинская улица,Котловка
1,Винокурова улица,Котловка
2,Дмитрия Ульянова улица,Котловка
3,Загородный 5-й проезд,Котловка
4,Загородный 6-й проезд,Котловка
5,Кржижановского улица,Котловка
6,Нагорная улица,Котловка
7,Нагорный бульвар,Котловка
8,Нахимовский проспект,Котловка
9,Ремизова улица,Котловка
10,Севастопольский проспект,Котловка
0,Академика Сахарова проспект,Красносельский
1,Ананьевский переулок,Красносельский
2,Астраханский переулок,Красносельский
3,Ащеулов переулок,Красносельский
4,Басманный 1-й переулок,Красносельский
5,Басманный переулок,Красносельский
6,Бобров переулок,Красносельский
7,Большая Лубянка улица,Красносельский
8,Большая Спасская улица,Красносельский
9,Большая Сухаревская площадь,Красносельский
10,Большой Балканский переулок,Красносельский
11,Большой Краснопрудный тупик,Красносельский
12,Верхняя Красносельская улица,Красносельский
13,Гаврикова улица,Красносельский
14,Газовский переулок,Красносельский
15,Глухарёв переулок,Красносельский
16,Грохольский переулок,Красносельский
17,Давыдовский переулок,Красносельский
18,Даев переулок,Красносельский
19,Докучаев переулок,Красносельский
20,Живарев переулок,Красносельский
21,Индустриальный переулок,Красносельский
22,Каланчёвская улица,Красносельский
23,Каланчёвский тупик,Красносельский
24,Комсомольская площадь,Красносельский
25,Комсомольской площади проезд,Красносельский
26,Коптельский 1-й переулок,Красносельский
27,Коптельский 2-й переулок,Красносельский
28,Костянский переулок,Красносельский
29,Красноворотский проезд,Красносельский
30,Краснопрудная улица,Красносельский
31,Краснопрудный переулок,Красносельский
32,Красносельский 1-й переулок,Красносельский
33,Красносельский 2-й переулок,Красносельский
34,Красносельский 3-й переулок,Красносельский
35,Красносельский 4-й переулок,Красносельский
36,Красносельский 5-й переулок,Красносельский
37,Красносельский 6-й переулок,Красносельский
38,Красносельский тупик,Красносельский
39,Красные Ворота площадь,Красносельский
40,Лермонтовская площадь,Красносельский
41,Леснорядская 2-я улица,Красносельский
42,Леснорядская улица,Красносельский
43,Леснорядский переулок,Красносельский
44,Лобачика улица,Красносельский
45,Луков переулок,Красносельский
46,Малая Красносельская улица,Красносельский
47,Малая Лубянка улица,Красносельский
48,Малый Головин переулок,Красносельский
49,Малый Краснопрудный тупик,Красносельский
50,Маши Порываевой улица,Красносельский
51,Милютинский переулок,Красносельский
52,Московско-Казанский переулок,Красносельский
53,Мясницкая улица,Красносельский
54,Мясницкий проезд,Красносельский
55,Нижняя Красносельская улица,Красносельский
56,Новая Басманная улица,Красносельский
57,Новая Переведеновская улица,Красносельский
58,Новорязанская улица,Красносельский
59,Новый 1-й переулок,Красносельский
60,Новый 2-й переулок,Красносельский
61,Новый 3-й переулок,Красносельский
62,Ольховская улица,Красносельский
63,Ольховский 1-й тупик,Красносельский
64,Ольховский переулок,Красносельский
65,Ольховский тупик,Красносельский
66,Орликов переулок,Красносельский
67,Панкратьевский переулок,Красносельский
68,Пантелеевская улица,Красносельский
69,Просвирин переулок,Красносельский
70,Протопоповский переулок,Красносельский
71,Русаковская улица,Красносельский
72,Рыбников переулок,Красносельский
73,Рязанский переулок,Красносельский
74,Рязанский проезд,Красносельский
75,Садовая-Спасская улица,Красносельский
76,Селивёрстов переулок,Красносельский
77,Скорняжный переулок,Красносельский
78,Спасский тупик,Красносельский
79,Сретенка улица,Красносельский
80,Сретенские Ворота площадь,Красносельский
81,Сретенский бульвар,Красносельский
82,Сретенский переулок,Красносельский
83,Сретенский тупик,Красносельский
84,Тургеневская площадь,Красносельский
85,Уланский переулок,Красносельский
86,Фролов переулок,Красносельский
87,Фуркасовский переулок,Красносельский
88,Южный проезд,Красносельский
0,Екатериновка посёлок,Крылатское
1,Защитников Неба площадь,Крылатское
2,Крылатская 2-я улица,Крылатское
3,Крылатская улица,Крылатское
4,Крылатские Холмы улица,Крылатское
5,Крылатский мост,Крылатское
6,Лесной посёлок,Крылатское
7,Осенний бульвар,Крылатское
8,Осенняя улица,Крылатское
9,Островная улица,Крылатское
10,Островной проезд,Крылатское
11,Проектируемый проезд N 369,Крылатское
12,Рублёвское шоссе,Крылатское
13,Сосновка посёлок,Крылатское
0,1 Мая улица,Крюково
1,Александровка улица,Крюково
2,Андреевка улица,Крюково
3,Вторая Пятилетка улица,Крюково
4,Заводская улица (Крюково),Крюково
5,Заводская улица (пос. Малино),Крюково
6,Заводской переулок,Крюково
7,Заводской тупик,Крюково
8,Заречная улица (г. Зеленоград),Крюково
9,Зеленоград город,Крюково
10,Зелёная улица,Крюково
11,Каменка улица,Крюково
12,Комсомольская улица (г. Зеленоград),Крюково
13,Крупской улица (г. Зеленоград),Крюково
14,Крюковская эстакада,Крюково
15,Кутузова переулок (г. Зеленоград),Крюково
16,Кутузово деревня,Крюково
17,Ленина улица (Крюково),Крюково
18,Лесная 2-я улица,Крюково
19,Лесная улица (Крюково),Крюково
20,Лесная улица (пос. Малино),Крюково
21,Логвиненко улица,Крюково
22,Малинская улица,Крюково
23,Медведковская улица,Крюково
24,Микрорайон 14-й микрорайон,Крюково
25,Микрорайон 15-й микрорайон,Крюково
26,Микрорайон 16-й микрорайон,Крюково
27,Микрорайон 18-й микрорайон,Крюково
28,Микрорайон 19-й микрорайон,Крюково
29,Михайловка улица,Крюково
30,Новая улица (г. Зеленоград),Крюково
31,Новокрюковская улица,Крюково
32,Новомалино улица,Крюково
33,Овражная улица,Крюково
34,Панфиловский проспект,Крюково
35,Первомайская улица (пос. Малино),Крюково
36,Полевая улица (г. Зеленоград),Крюково
37,Привокзальная площадь,Крюково
38,Проезд N 657 проезд,Крюково
39,Проезд N 673 проезд,Крюково
40,Проектируемый проезд N 687,Крюково
41,Проектируемый проезд N 710,Крюково
42,Пролетарская улица,Крюково
43,Прудная улица,Крюково
44,Прудный переулок,Крюково
45,Радио улица (г. Зеленоград),Крюково
46,Радиоцентр улица,Крюково
47,Ровная улица,Крюково
48,Рожки посёлок,Крюково
49,Садовая улица,Крюково
50,Советская улица (г. Зеленоград),Крюково
51,ЦНИИМОД улица,Крюково
52,ЦНИИМЭ улица,Крюково
53,Чернышевского улица (г. Зеленоград),Крюково
54,Школьная улица (Крюково),Крюково
55,Школьная улица (пос. Малино),Крюково
0,Академика Скрябина улица,Кузьминки
1,Волгоградский проспект,Кузьминки
2,Волжский Бульвар 113а квартал,Кузьминки
3,Волжский Бульвар 114а квартал,Кузьминки
4,Волжский бульвар,Кузьминки
5,Есенинский бульвар,Кузьминки
6,Жигулёвская улица,Кузьминки
7,Заречье улица,Кузьминки
8,Зеленодольская улица,Кузьминки
9,Краснодонская улица,Кузьминки
10,Кузьминская улица,Кузьминки
11,Кузьминский парк,Кузьминки
12,Маршала Чуйкова улица,Кузьминки
13,Окская улица,Кузьминки
14,Славы площадь,Кузьминки
15,Федора Полетаева улица,Кузьминки
16,Шумилова улица,Кузьминки
17,Юных Ленинцев улица,Кузьминки
0,Академика Павлова улица,Кунцево
1,Академика Петрова площадь,Кунцево
2,Бобруйская улица,Кунцево
3,Боженко улица,Кунцево
4,Василия Ботылева улица,Кунцево
5,Екатерины Будановой улица,Кунцево
6,Ельнинская улица,Кунцево
7,Ивана Франко улица,Кунцево
8,Истринская улица,Кунцево
9,Коцюбинского улица,Кунцево
10,Крылатская 1-я улица,Кунцево
11,Крылатская улица,Кунцево
12,Кунцевская улица,Кунцево
13,Леси Украинки улица,Кунцево
14,Маршала Тимошенко улица,Кунцево
15,Молдавская улица,Кунцево
16,Молодогвардейская улица,Кунцево
17,Москворецкая улица (пос. Рублево),Кунцево
18,Мякининская 1-я улица,Кунцево
19,Мякининская 2-я улица,Кунцево
20,Мякининская 3-я улица,Кунцево
21,Мякининская 4-я улица,Кунцево
22,Мякининская 5-я улица,Кунцево
23,Набережная улица (пос. Рублево),Кунцево
24,Новолучанская улица,Кунцево
25,Новорублёво посёлок,Кунцево
26,Новорублёвская 2-я улица,Кунцево
27,Новорублёвская улица,Кунцево
28,Обводное шоссе,Кунцево
29,Оршанская улица,Кунцево
30,Партизанская улица,Кунцево
31,Полоцкая улица,Кунцево
32,Рублёво посёлок,Кунцево
33,Рублёво-Успенское шоссе,Кунцево
34,Рублёвская улица,Кунцево
35,Рублёвское шоссе,Кунцево
36,Советская улица (пос. Рублево),Кунцево
37,Старолучанская улица,Кунцево
38,Черепковская 3-я улица,Кунцево
39,Ярцевская улица,Кунцево
0,Воротынская улица,Куркино
1,Захарьинская улица,Куркино
2,Куркинское шоссе,Куркино
3,Ландышевая улица,Куркино
4,Машкинское шоссе,Куркино
5,Нагорное посёлок,Куркино
6,Новогорская улица,Куркино
7,Новокуркинское шоссе,Куркино
8,Путилковское шоссе,Куркино
9,Родионовская улица,Куркино
10,Соколово-Мещерская улица,Куркино
11,Соловьиная Роща улица,Куркино
12,Юровская улица,Куркино
0,Беломорская улица,Левобережный
1,Валдайский проезд,Левобережный
2,Лавочкина улица,Левобережный
3,Левобережная улица,Левобережный
4,Ленинградский мост,Левобережный
5,Ленинградское шоссе,Левобережный
6,Правобережная улица,Левобережный
7,Прибрежный проезд,Левобережный
8,Смольная улица,Левобережный
9,Фестивальная улица,Левобережный
10,Флотская улица,Левобережный
11,Химкинский мост,Левобережный
0,Авиамоторная улица,Лефортово
1,Андроновское шоссе,Лефортово
2,Боровая улица,Лефортово
3,Верхний Золоторожский переулок,Лефортово
4,Волочаевская улица,Лефортово
5,Головинская набережная,Лефортово
6,Госпитальная площадь,Лефортово
7,Госпитальная улица,Лефортово
8,Госпитальный Вал улица,Лефортово
9,Госпитальный мост,Лефортово
10,Дворникова улица,Лефортово
11,Душинская улица,Лефортово
12,Завода Серп и Молот проезд,Лефортово
13,Золоторожская набережная,Лефортово
14,Золоторожская улица,Лефортово
15,Золоторожский Вал улица,Лефортово
16,Золоторожский проезд,Лефортово
17,Ионинская улица,Лефортово
18,Кабельная 1-я улица,Лефортово
19,Кабельная 2-я улица,Лефортово
20,Кабельная 3-я улица,Лефортово
21,Кабельная 4-я улица,Лефортово
22,Кабельная 5-я улица,Лефортово
23,Кабельный 1-й проезд,Лефортово
24,Кабельный 2-й проезд,Лефортово
25,Княжекозловский переулок,Лефортово
26,Княжнина улица,Лефортово
27,Красноказарменная набережная,Лефортово
28,Красноказарменная площадь,Лефортово
29,Красноказарменная улица,Лефортово
30,Красноказарменный проезд,Лефортово
31,Краснокурсантская площадь,Лефортово
32,Краснокурсантский 1-й проезд,Лефортово
33,Краснокурсантский 2-й проезд,Лефортово
34,Крюковская улица,Лефортово
35,Крюковский тупик,Лефортово
36,Лапина улица,Лефортово
37,Левый тупик,Лефортово
38,Лефортовский Вал улица,Лефортово
39,Лефортовский мост,Лефортово
40,Лонгиновская улица,Лефортово
41,Магазинный тупик,Лефортово
42,Мининский переулок,Лефортово
43,Наличная улица,Лефортово
44,Перовский проезд,Лефортово
45,Проектируемый проезд N 137,Лефортово
46,Проломная Застава площадь,Лефортово
47,Пруд-Ключики улица,Лефортово
48,Салтыковский мост,Лефортово
49,Самокатная улица,Лефортово
50,Синичкина 1-я улица,Лефортово
51,Синичкина 2-я улица,Лефортово
52,Слободской переулок,Лефортово
53,Солдатская улица,Лефортово
54,Солдатский переулок,Лефортово
55,Средний Золоторожский переулок,Лефортово
56,Старообрядческая улица,Лефортово
57,Сторожевая улица,Лефортово
58,Строгановский проезд,Лефортово
59,Таможенный мост,Лефортово
60,Таможенный проезд,Лефортово
61,Танковый проезд,Лефортово
62,Упорный переулок,Лефортово
63,Ухтомская улица,Лефортово
64,Ухтомский переулок,Лефортово
65,Шепелюгинская улица,Лефортово
66,Шепелюгинский переулок,Лефортово
67,Энергетическая улица,Лефортово
68,Энергетический проезд,Лефортово
69,Энтузиастов шоссе,Лефортово
70,Юрьевская улица,Лефортово
71,Юрьевский переулок,Лефортово
0,Абрамцевская улица,Лианозово
1,Алтуфьевское шоссе,Лианозово
2,Байдукова улица,Лианозово
3,Белякова улица,Лианозово
4,Водопьянова улица,Лианозово
5,Вологодский проезд,Лианозово
6,Громова улица,Лианозово
7,Дмитровское шоссе,Лианозово
8,Зональная улица,Лианозово
9,Илимская улица,Лианозово
10,Каманина улица,Лианозово
11,Кренкеля улица,Лианозово
12,Леваневского улица,Лианозово
13,Лианозовский проезд,Лианозово
14,Молокова улица,Лианозово
15,Набережная улица,Лианозово
16,Новгородская улица,Лианозово
17,Псковская улица,Лианозово
18,Путевой проезд,Лианозово
19,Слепнёва улица,Лианозово
20,Тобольский переулок,Лианозово
21,Угличская улица,Лианозово
22,Фёдорова улица,Лианозово
23,Хотьковская улица,Лианозово
24,Череповецкая улица,Лианозово
25,Чкалова улица,Лианозово
26,Ширшова улица,Лианозово
27,Шмидта улица,Лианозово
0,Академика Пилюгина улица,Ломоносовский
1,Архитектора Власова улица,Ломоносовский
